id,nombre,subregion,altitud_msnm,temperatura_c,distancia_medellin_km,tiempo_medellin,coordenadas,como_llegar,historia,atractivos,gastronomia,festividades,tipo_via,dificultad_moto,tips_moto,poblacion,notas_adicionales,updated_at,nombre_norm
cocorna,Cocorná,Oriente,1050,24,90,2h,"{'lat': 6.0623, 'lng': -75.1849}","Desde Medellín por la Autopista Medellín-Bogotá, desvío en El Santuario o San Luis.","Fundado en 1854. ""El Mónaco de Antioquia"" por sus montañas verdes escarpadas. Zona de selva húmeda, ríos, cascadas y un ecosistema único en Antioquia. El río Cocorná y sus afluentes forman un paraíso para el ecoturismo.","['Río Cocorná', 'Cascada La Piñalito', 'Cascada Salto del Buey', 'Cascada El Encanto', 'Tubing en el río', 'Senderos ecológicos', 'Vereda La Esperanza']","['Sancocho de gallina', 'Frijoles', 'Trucha', 'Guanábana', 'Frutas tropicales', 'Bandeja paisa']","['Fiestas del río Cocorná (junio)', 'Semana Turística', 'Fiestas patronales San José']",Carretera bien pavimentada con muchas curvas sinuosas. Descenso pronunciado.,media,El descenso hacia Cocorná es espectacular: pasas de 2100 m a 1050 m en pocos kilómetros. Temperatura cambia notablemente. Llevar ropa para clima cálido. Los ríos y cascadas son la joya.,22000,Zona de ecoturismo y ríos cristalinos.,2026-07-14 12:03:11.391593+00,cocorna
concepcion-oriente,Concepción,Oriente,2000,17,50,1h10min,"{'lat': 6.3879, 'lng': -75.2655}",Desde Medellín por Guarne-San Vicente Ferrer hacia el norte del Oriente.,"Fundado en 1789. Municipio montañoso del norte del Oriente antioqueño. Zona de transición entre el Oriente y el Norte antioqueño. Paisajes de montaña verde, producción agropecuaria y minería histórica. Poco turismo masivo.","['Parque principal', 'Iglesia colonial', 'Veredas montañosas', 'Quebradas', 'Minas artesanales históricas']","['Frijoles', 'Mazamorra', 'Chicharrón', 'Cuajada', 'Café']","['Fiestas patronales de La Concepción (diciembre)', 'Feria Agroindustrial']",Carretera departamental sinuosa.,media,"Municipio poco visitado, ideal para el motero que busca rutas sin turismo. Conecta Norte y Oriente antioqueño.",13000,,2026-07-14 12:03:11.391593+00,concepcion
concordia,Concordia,Suroeste,1800,18,100,2h,"{'lat': 6.0441, 'lng': -75.902}",Desde Medellín por Titiribí o por Salgar.,Fundado en 1878. Municipio cafetero del Suroeste. Zona de ladera con producción de café especial. Parque principal con arquitectura republicana. Vista panorámica sobre el Valle del Cauca.,"['Parque principal', 'Vista al Valle del Cauca', 'Cultivos de café especial', 'Miradores', 'Ríos y quebradas']","['Café especial', 'Frijoles', 'Chicharrón', 'Sancocho', 'Mazamorra']","['Fiestas patronales del Sagrado Corazón', 'Feria Cafetera']",Carretera departamental bien pavimentada.,media,Concordia tiene café especial de muy alta calidad. Las vistas al Valle del Cauca son espectaculares.,22000,,2026-07-14 12:07:16.77151+00,concordia
copacabana,Copacabana,Valle de Aburrá,1450,21,20,25 min,"{'lat': 6.3503, 'lng': -75.5095}","Autopista Norte desde Medellín, continúa hacia el norte del Valle.","Fundado en 1826. Su nombre evoca a la Virgen de Copacabana, patrona de los navegantes. Municipio de vocación industrial y residencial, con importante actividad metalúrgica. Ubicado sobre el río Medellín entre colinas verdes.","['Parque principal', 'Iglesia Nuestra Señora de Copacabana', 'Quebrada La Brizuela', 'Zona industrial', 'Cerros circundantes']","['Frijoles antioqueños', 'Chicharrón', 'Caldo de costilla', 'Arepa de maíz']","['Fiestas patronales Virgen de Copacabana (agosto)', 'Festival de la Trova']","Autopista Norte perfecta, múltiples carriles.",facil,"Municipio de paso hacia el Norte. Si vas a descansar, el parque central es tranquilo. Gasolina disponible en la autopista.",80000,,2026-07-14 12:00:58.273533+00,copacabana
dabeiba,Dabeiba,Occidente,1000,24,180,4h,"{'lat': 7.0038, 'lng': -76.2678}","Desde Medellín por la Autopista al Mar hasta Bolombolo, luego vía departamental hacia el norte.","Fundado en 1810. Municipio del Occidente profundo, zona de transición hacia el Urabá. Área histórica de conflicto armado, hoy en proceso de normalización. Zona de selva, ríos y cultivos tropicales.","['Parque principal', 'Río León', 'Cascadas naturales', 'Zonas verdes', 'Selva tropical']","['Plátano', 'Sancocho de pescado', 'Yuca', 'Frutas tropicales']","['Fiestas patronales', 'Festival Cultural']","Carretera departamental, tramos con dificultes en invierno.",dificil,Zona en proceso de normalización posconflicto. Consultar condiciones de seguridad antes de viajar.,25000,,2026-07-14 12:04:26.281938+00,dabeiba
don-matias,Don Matías,Norte,2400,15,60,1h15min,"{'lat': 6.5099, 'lng': -75.3989}","Autopista Norte hasta Barbosa, desvío antes de Santa Rosa.",Fundado en 1875. Municipio ganadero y lechero. Principal productor de leche del Norte antioqueño. La cooperativa de lecheros es importante en la región. Zona de frío permanente con paisajes de páramo.,"['Parque principal', 'Cooperativa Lechera', 'Fincas ganaderas', 'Miradores naturales', 'Quebradas de páramo']","['Leche fresca', 'Cuajada', 'Quesito', 'Mazamorra con panela', 'Sancocho', 'Chicharrón']","['Fiestas patronales de Matías Apóstol (septiembre)', 'Feria Agropecuaria y Lechera', 'Festival Campesino']",Vía departamental bien pavimentada.,facil,"Don Matías tiene los mejores productos lácteos del Norte. Compra cuajada y quesito fresco antes de regresar. Frío constante, lleva chaqueta.",40000,Principal productor de leche del Norte antioqueño.,2026-07-14 12:05:42.236136+00,don matias
ebejico,Ebéjico,Occidente,1850,18,65,1h20min,"{'lat': 6.3236, 'lng': -75.7601}","Desde Medellín por la vía al Occidente, desvío antes de San Jerónimo.",Fundado en 1830. Municipio montañoso del Occidente antioqueño. Zona de bosques y quebradas. Producción agropecuaria. Clima fresco por su altitud. Paisajes de montaña verde.,"['Parque principal', 'Quebradas y ríos', 'Bosques naturales', 'Mirador Cerro Plateado', 'Cultivos de café y plátano']","['Frijoles', 'Mazamorra', 'Chicharrón', 'Cuajada', 'Café']","['Fiestas patronales', 'Feria Agropecuaria']","Carretera departamental sinuosa, en buen estado.",media,"Municipio tranquilo, paso hacia el Occidente interior. Buenos paisajes de montaña.",12000,,2026-07-14 12:04:26.281938+00,ebejico
el-bagre,El Bagre,Bajo Cauca,40,33,250,5h,"{'lat': 7.5934, 'lng': -74.8095}",Desde Medellín por Caucasia o por Zaragoza.,Fundado en 1934. Municipio minero del Bajo Cauca. Zona de extracción de oro y platino. A orillas del río Nechí. Clima tropical muy cálido. Zona de biodiversidad en ecosistema de selva y ciénagas.,"['Río Nechí', 'Minas de oro y platino', 'Ciénagas naturales', 'Parque principal', 'Pesca deportiva']","['Pescado frito', 'Mojarra', 'Bagre', 'Plátano', 'Sancocho de pescado']","['Fiestas patronales San Juan (junio)', 'Festival del Pescador']",Carretera con tramos difíciles.,dificil,Zona aurífera y platinera. Calor extremo. Zona históricamente de conflicto.,60000,,2026-07-14 12:08:51.077731+00,el bagre
el-penol,El Peñol,Oriente,1930,17,75,1h35min,"{'lat': 6.2157, 'lng': -75.238}",Mismo camino que a Guatapé. Están a 8 km el uno del otro.,"Fundado en 1774. El viejo Peñol fue inundado en 1978 para crear el embalse. El nuevo Peñol fue construido en las colinas. Su principal icono es la Piedra del Peñol (El Peñón), un monolito de 200 metros de altura con 649 escalones que ofrece una vista de 360° del embalse.","['La Piedra del Peñol (649 escalones)', 'Embalse Peñol-Guatapé', 'Cruz en la cima de la Piedra', 'Paseos en lancha', 'El Viejo Peñol (bajo el agua)', 'Miradores naturales']","['Bandeja paisa', 'Trucha', 'Sancocho', 'Empanadas', 'Arepas', 'Buñuelos']","['Fiestas patronales de La Candelaria (febrero)', 'Festival del Embalse (con Guatapé)', 'Semana Santa']","Misma vía que Guatapé, excelente estado.",facil,La Piedra del Peñol: 649 escalones para una vista que te deja sin habla. Costo de entrada ~$16.000. Madruga: después de las 10am hay filas largas. Puedes hacer Peñol+Guatapé en el mismo día.,17000,La Piedra del Peñol es el símbolo turístico del Oriente Antioqueño.,2026-07-14 12:03:11.391593+00,el penol
el-retiro,El Retiro,Oriente,2300,16,55,1h10min,"{'lat': 6.0533, 'lng': -75.5024}",Desde Medellín por La Ceja o por la vía Autopista Sur-El Retiro.,"Fundado en 1789. ""El Retiro de los Emperadores"" por su exclusividad. Sede de fincas y clubes campestres de la élite antioqueña. Parque principal colonial bien conservado. Importante actividad ecoturística y de naturaleza.","['Parque principal colonial', 'Iglesia de El Retiro', 'Embalse La Fe (acceso)', 'Fincas turísticas', 'La Cruz (mirador)', 'Quebrada La Ayurá', 'Zona de clubes y hosterías']","['Trucha', 'Frijoles negros', 'Sancocho de gallina', 'Pan artesanal', 'Mantequilla de campo']","['Fiestas de San José (marzo)', 'Festival Artesanal', 'Feria equina']","Carretera pavimentada bien mantenida, curvas moderadas a pronunciadas.",facil,Zona de fincas y descanso exclusivo. La vía El Retiro-La Ceja es muy bonita. Muchos restaurantes de calidad en las fincas.,23000,,2026-07-14 12:03:11.391593+00,el retiro
el-santuario,El Santuario,Oriente,2150,17,65,1h25min,"{'lat': 6.1368, 'lng': -75.2724}","Autopista Medellín-Bogotá, desvío después de Marinilla.",Fundado en 1765. Municipio de fuerte tradición religiosa y artesanal. Importante centro comercial del Oriente con mercado campesino activo. Su parque principal conserva arquitectura republicana. Buena conexión con otros municipios del Oriente.,"['Parque principal', 'Catedral San Luis Gonzaga', 'Mercado Campesino', 'Quebrada El Popalito', 'Haciendas cercanas', 'Mirador Cerro Bravo']","['Trucha', 'Frijoles de carga', 'Mazamorra', 'Pan de maíz', 'Natilla y buñuelos', 'Chicharrón']","['Fiestas de San Luis Gonzaga (junio)', 'Feria Artesanal y Comercial', 'Festival de la Trova']","Autopista hasta desvío, luego vía en buen estado.",facil,El Santuario tiene buen servicio de gasolina y talleres. Punto de paso hacia Cocorná y San Luis. Mercado campesino los sábados.,32000,,2026-07-14 12:03:11.391593+00,el santuario
entrerrios,Entrerríos,Norte,2450,14,60,1h15min,"{'lat': 6.5626, 'lng': -75.5892}",Desde Medellín por San Pedro de los Milagros.,Fundado en 1830. Municipio ganadero entre Santa Rosa y San Pedro. Paisaje típico del altiplano norte con pastizales verdes y fincas lecheras. El río Grande y sus afluentes son su riqueza hídrica.,"['Embalse Riogrande II (parte)', 'Parque principal', 'Fincas lecheras', 'Quebrada Grande', 'Miradores del Norte']","['Leche', 'Cuajada', 'Frijoles', 'Mazamorra', 'Chicharrón']","['Fiestas patronales', 'Feria Agropecuaria']",Vía departamental en buen estado.,facil,Municipio tranquilo del altiplano. Buena para ruta combinada Santa Rosa-Entrerríos-Don Matías.,15000,,2026-07-14 12:05:42.236136+00,entrerrios
envigado,Envigado,Valle de Aburrá,1575,22,10,20 min,"{'lat': 6.1681, 'lng': -75.5913}","Avenida El Poblado hacia el sur, continuación natural de Medellín.","Fundado en 1775. Municipio de alta calidad de vida, considerado uno de los mejores para vivir en Colombia. Cuna de muchos deportistas destacados. Conserva un bello parque central de arquitectura republicana. Barrio El Dorado famoso por sus restaurantes.","['Parque principal', 'Iglesia La Inmaculada', 'Barrio El Dorado', 'Quebrada La Ayurá', 'Estadio Juan Antonio Campillo', 'Parque El Salado', 'Hacienda La Mina']","['Bandeja paisa', 'Pescado frito', 'Cotelé', 'Empanadas de pipián', 'Helados artesanales']","['Fiestas de la Inmaculada Concepción (diciembre)', 'Festival de la Trova Envigado', 'Maratón de Envigado']","Vías urbanas excelentes, avenidas bien mantenidas.",facil,Envigado tiene muchos restaurantes de calidad en la zona de El Dorado y El Poblado Sur. Parqueaderos disponibles en el parque central. Zona segura.,250000,,2026-07-14 12:00:58.273533+00,envigado
fredonia,Fredonia,Suroeste,1750,18,60,1h15min,"{'lat': 5.926, 'lng': -75.6773}",Desde Medellín por Autopista Sur-Caldas-Amagá. Carretera en buen estado.,"Fundado en 1828. Municipio cafetero del Suroeste antioqueño. Zona de ladera con haciendas cafeteras históricas. Parque principal bien conservado. Cerca de Medellín, ideal para rutas de un día.","['Parque principal', 'Haciendas cafeteras', 'Mirador El Cerro', 'Quebradas y cascadas', 'Cultivos de café']","['Café', 'Frijoles antioqueños', 'Chicharrón', 'Mazamorra', 'Sancocho', 'Aguardiente']","['Fiestas patronales de La Candelaria (febrero)', 'Feria Cafetera', 'Festival del Retorno']",Carretera bien pavimentada.,facil,Primera parada del Suroeste desde Medellín. A solo 1h. Buen café y comida típica. Combinar con Jericó y Jardín para ruta completa.,28000,,2026-07-14 12:07:16.77151+00,fredonia
frontino,Frontino,Occidente,1800,18,140,3h,"{'lat': 6.7752, 'lng': -76.131}",Desde Medellín por Cañasgordas o por Dabeiba. Carretera departamental.,"Fundado en 1825. Municipio del Occidente profundo, frontera con Chocó y Urabá. Zona de selva húmeda, biodiversidad y ríos. Acceso a las reservas naturales de la serranía de Abibe. Municipio muy verde y lluvioso.","['Parque principal', 'Reservas naturales', 'Ríos cristalinos', 'Selva húmeda', 'Serranía de Abibe', 'Cascadas naturales']","['Sancocho', 'Frijoles', 'Pescado', 'Plátano', 'Frutas tropicales']","['Fiestas patronales de San Juan Bautista (junio)', 'Festival Cultural']",Carretera departamental con tramos sinuosos. Estado variable.,dificil,"Zona lluviosa, vías pueden estar en mal estado. Municipio para moteros aventureros. Llevar poncho.",20000,"Zona de alta biodiversidad, frontera con Chocó.",2026-07-14 12:04:26.281938+00,frontino
giraldo,Giraldo,Occidente,1700,19,80,1h50min,"{'lat': 6.5742, 'lng': -75.9421}",Desde Santa Fe de Antioquia o desde Olaya.,Fundado en 1886. Municipio del Occidente. Zona agropecuaria. Paisajes de montaña verde con cultivos de café y frutales.,"['Parque principal', 'Cultivos de café', 'Quebradas', 'Miradores']","['Café', 'Frijoles', 'Chicharrón']",['Fiestas patronales'],Carretera departamental sinuosa.,media,Municipio tranquilo del Occidente.,8000,,2026-07-14 12:04:26.281938+00,giraldo
girardota,Girardota,Valle de Aburrá,1350,23,30,35 min,"{'lat': 6.377, 'lng': -75.4483}","Autopista Norte desde Medellín, desvío antes de Barbosa.","Fundado en 1620. Conocido como ""El Municipio del Señor Caído"", por la famosa imagen del Señor Caído del Espinal que atrae a miles de peregrinos. Municipio de gran fervor religioso y tradición agrícola. Limita con el río Medellín.","['Santuario del Señor Caído del Espinal', 'Parque principal', 'Río Medellín', 'Cerros protectores', 'Haciendas históricas']","['Frijoles con chicharrón', 'Lechona', 'Arepa de maíz', 'Aguardiente antioqueño']","['Festividades del Señor Caído (tercer fin de semana de enero)', 'Fiestas patronales de San Lorenzo (agosto)']",Autopista Norte en excelente estado.,facil,Ideal parada para quienes van al norte de Antioquia. El santuario del Señor Caído es visita obligada. Muchos restaurantes típicos sobre la vía.,60000,,2026-07-14 12:00:58.273533+00,girardota
gomez-plata,Gómez Plata,Norte,1550,19,80,1h45min,"{'lat': 6.7246, 'lng': -75.206}",Desde Santa Rosa o desde Amalfi (Nordeste).,Fundado en 1793. Municipio que conecta el Norte con el Nordeste antioqueño. Zona minera y cafetera. Paso importante para la ruta hacia el Nordeste.,"['Parque principal', 'Río Guadalupe', 'Cultivos de café', 'Miradores de montaña']","['Café', 'Frijoles', 'Sancocho', 'Mazamorra', 'Chicharrón']","['Fiestas patronales', 'Feria Agropecuaria']","Vía departamental, algunas curvas pronunciadas.",media,Punto de conexión Norte-Nordeste. Buenos talleres de moto en el pueblo.,15000,,2026-07-14 12:05:42.236136+00,gomez plata
granada,Granada,Oriente,900,26,110,2h30min,"{'lat': 6.1541, 'lng': -74.9489}",Desde Medellín por San Carlos o por la Autopista Medellín-Bogotá hasta San Luis.,Fundado en 1908. Uno de los municipios más golpeados por el conflicto armado en los 90. Hoy es ejemplo de reconciliación y resiliencia. El Salón del Nunca Más es un referente nacional de memoria histórica. Zona de ríos y naturaleza exuberante.,"['Salón del Nunca Más (memoria histórica)', 'Río Calderas', 'Cascadas naturales', 'Sendero ecológico', 'Cultivos de cacao y plátano', 'Museo de la Memoria']","['Sancocho de gallina', 'Plátano frito', 'Yuca', 'Trucha', 'Guanábana', 'Frutas tropicales']","['Fiestas del Río (agosto)', 'Festival de la Reconciliación', 'Semana de la Memoria']","Carretera regional, algunos tramos destapados. Zona caliente.",media,Zona de temperatura alta (26-30°C). Llevar hidratación. El Salón del Nunca Más es visita obligada para entender la historia reciente de Antioquia. Comunidad muy cálida.,10000,Símbolo de resiliencia postconflicto en Colombia.,2026-07-14 12:03:11.391593+00,granada
guadalupe-norte,Guadalupe,Norte,1600,19,95,2h,"{'lat': 6.8696, 'lng': -75.2745}",Desde Santa Rosa o desde Carolina del Príncipe.,Fundado en 1813. Municipio productor de café en el Norte antioqueño. Zona de montañas verdes y ríos cristalinos. Pequeña pero bonita cabecera municipal.,"['Parque principal', 'Cultivos de café', 'Ríos y cascadas', 'Miradores']","['Café del Norte', 'Frijoles', 'Sancocho', 'Mazamorra']",['Fiestas patronales'],Vía departamental sinuosa.,media,"Municipio pequeño, productor de café de buena calidad.",8000,,2026-07-14 12:05:42.236136+00,guadalupe
guarne,Guarne,Oriente,2150,16,30,40min,"{'lat': 6.2767, 'lng': -75.4438}",Salida por la vía Las Palmas o por el desvío de la Autopista Medellín-Bogotá antes del aeropuerto.,Fundado en 1757. Municipio de rápido crecimiento por su cercanía a Medellín y al aeropuerto. Zona industrial y de bodegas logísticas. Sin embargo conserva veredas naturales y un parque central tradicional antioqueño.,"['Parque principal', 'Iglesia San Bartolomé', 'Veredas naturales', 'Zona Industrial La Mosca', 'Quebrada La García', 'Parque El Porvenir']","['Frijoles antioqueños', 'Chicharrón', 'Trucha', 'Arepa de chócolo', 'Mazamorra']","['Fiestas de San Bartolomé (agosto)', 'Festival Cultural', 'Feria Artesanal']","Autopista hasta desvío, vía urbana buena.",facil,"Guarne es paso obligado hacia el aeropuerto. Si aterrizas o sales de viaje, hay hoteles y restaurantes cerca. La zona industrial tiene buenos talleres de moto.",65000,,2026-07-14 12:03:11.391593+00,guarne
guatape,Guatapé,Oriente,1885,18,80,1h45min,"{'lat': 6.2335, 'lng': -75.1577}","Desde Medellín por la Autopista Medellín-Bogotá hasta El Santuario, luego desvío a Guatapé.","Fundado en 1811. Famoso mundialmente por sus ""zócalos"" (murales en relieve en las fachadas de las casas), el embalse Peñol-Guatapé y la Piedra del Peñol. Su pueblo de colores es uno de los más fotografiados de Colombia. Pueblo turístico por excelencia.","['Embalse Peñol-Guatapé', 'Zócalos coloridos', 'Parque Principal de los Zócalos', 'Iglesia Nuestra Señora del Carmen', 'Paseos en lancha', 'Deportes acuáticos', 'Malecón', 'Mirador El Peñol (a 8km)']","['Trucha del embalse', 'Bandeja paisa', 'Sancocho de gallina', 'Refajo antioqueño', 'Chicharrón', 'Empanadas', 'Mazamorra']","['Fiestas del Embalse (junio)', 'Festival de Zócalos', 'Semana Santa turística', 'Año Nuevo en el embalse']","Carretera bien pavimentada hasta Guatapé, con curvas panorámicas junto al embalse.",facil,Guatapé es visita obligada de todo motero. Las vías junto al embalse son espectaculares. Fines de semana muy lleno: mejor ir entre semana. Parqueo motos cerca de la iglesia.,16000,Uno de los destinos turísticos más visitados de Colombia.,2026-07-14 12:03:11.391593+00,guatape
heliconia,Heliconia,Occidente,1800,18,55,1h10min,"{'lat': 6.2152, 'lng': -75.7427}",Desde Medellín por la vía al Occidente.,"Fundado en 1814. Municipio de montaña, zona de transición entre el Valle de Aburrá y el Occidente. Paisajes verdes con cultivos de café y frutales. Clima templado agradable.","['Parque principal', 'Iglesia colonial', 'Miradores naturales', 'Cultivos de café', 'Quebradas']","['Café', 'Frijoles', 'Aguacate', 'Mango', 'Chicharrón']","['Fiestas patronales de San Pablo (junio)', 'Feria Agropecuaria']",Carretera departamental con curvas moderadas.,facil,Municipio tranquilo. Buena parada entre Medellín y el Occidente profundo.,13000,,2026-07-14 12:04:26.281938+00,heliconia
hispania,Hispania,Suroeste,1800,17,145,3h,"{'lat': 5.8077, 'lng': -75.9256}",Desde Medellín por Andes.,Fundado en 1914. Municipio cafetero del sur del Suroeste. Pequeña cabecera con parque colonial. Zona de montaña verde y clima fresco.,"['Parque principal', 'Cultivos de café', 'Miradores', 'Ríos']","['Café', 'Frijoles', 'Sancocho', 'Mazamorra']",['Fiestas patronales'],Carretera departamental.,media,Municipio pequeño del Suroeste. Excelente café de la zona.,8000,,2026-07-14 12:07:16.77151+00,hispania
itagui,Itagüí,Valle de Aburrá,1500,22,8,15 min,"{'lat': 6.1846, 'lng': -75.5996}",Autopista Sur o Avenida El Poblado hacia el sur de Medellín.,"Fundado en 1743. ""La Capital Industrial de Antioquia"". Concentra el mayor número de industrias por km² del país, especialmente textiles, confecciones y calzado. Municipio símbolo del empuje obrero antioqueño. Sede del Parque Ditaires.","['Centro Comercial Mayorca', 'Parque Ditaires', 'Parque de las Aguas', 'Quebrada Doña María', 'Zona Industrial']","['Bandeja paisa', 'Arepa', 'Chicharrón', 'Empanadas antioqueñas']","['Fiestas del Municipio (noviembre)', 'Festival de la Industria', 'Feria de las Flores local']",Autopistas urbanas en perfecto estado.,facil,"Municipio industrial, tráfico pesado en zonas industriales. Evitar camiones en horas pico. Parque Ditaires ideal para descanso.",370000,,2026-07-14 12:00:58.273533+00,itagui
ituango,Ituango,Norte,1550,20,195,4h,"{'lat': 7.1745, 'lng': -75.7584}",Desde Medellín por Yarumal y luego vía departamental. O por Valdivia.,"Fundado en 1832. Municipio del Norte profundo. Famoso actualmente por la Hidroeléctrica Ituango (Hidroituango), la más grande de Colombia. Zona histórica de conflicto armado, en proceso de normalización. El río Cauca cruza su territorio en cañones espectaculares.","['Hidroituango (Represa)', 'Cañón del Cauca', 'Parque principal', 'Serranía de San Jerónimo', 'Ríos y cascadas']","['Sancocho de gallina', 'Frijoles', 'Plátano', 'Yuca', 'Trucha']","['Fiestas patronales', 'Festival del Campesino']",Carretera nacional e interdepartamental con tramos sinuosos y difíciles.,dificil,Zona en normalización. Consultar condiciones de seguridad. Hidroituango es una maravilla de ingeniería. La vía de Valdivia puede estar en obras.,45000,"Sede de Hidroituango, la hidroeléctrica más grande de Colombia.",2026-07-14 12:05:42.236136+00,ituango
jardin,Jardín,Suroeste,1750,18,135,2h30min,"{'lat': 5.5978, 'lng': -75.8183}",Desde Medellín por Autopista Sur-Caldas-Amagá-Fredonia-Jericó-Jardín. O por Andes. Carretera departamental.,"Fundado en 1863. Considerado el pueblo más bonito de Antioquia y uno de los más bellos de Colombia. Declarado Patrimonio Histórico. Su parque colonial de colores vivos, arquitectura republicana y entorno natural de montaña verde lo hacen único. La Basílica Menor es imponente. Pequeño pero perfecto.","['Parque principal colonial (Patrimonio Nacional)', 'Basílica Menor Nuestra Señora de Las Mercedes', 'Teleférico y Cuerda floja', 'Galería Artesanal', 'Chorros de Naranjal', 'Cueva El Esplendor', 'Mirador La Garrucha (Guadual)', 'Haciendas cafeteras', 'Cascada de Farallones', 'Río San Juan']","['Café Jardín (excelente calidad)', 'Trucha al ajillo', 'Bandeja paisa', 'Mazamorra con bocadillo', 'Buñuelos', 'Natilla', 'Helados artesanales', 'Tamal antioqueño', 'Aguardiente artesanal']","['Fiestas de la Virgen de Las Mercedes (septiembre)', 'Festival del Folklore', 'Semana del Arte y la Cultura', 'Festival Gastronómico del Café']","Carretera pavimentada bien mantenida, curvas agradables de Suroeste.",media,Jardín es el destino motero más popular del Suroeste. Las curvas del Suroeste son legendarias. Llega entre semana: fines de semana es lleno. Parqueo motos en el parque. No te pierdas el teleférico ni la Cueva El Esplendor.,20000,Patrimonio Histórico Nacional. Uno de los pueblos más bellos de Colombia.,2026-07-14 12:07:16.77151+00,jardin
jerico,Jericó,Suroeste,1750,18,120,2h15min,"{'lat': 5.7855, 'lng': -75.7823}",Desde Medellín por Autopista Sur-Caldas-Amagá-Fredonia-Jericó. Carretera pavimentada.,"Fundado en 1850. Cuna de la Beata Laura Montoya, primera colombiana beatificada. Municipio de gran fervor religioso y arquitectura colonial conservada. Su parque principal y la Catedral son joyas del Suroeste. Zona cafetera de ladera.","['Parque principal (Patrimonio)', 'Catedral de Jericó', 'Museo Laura Montoya', 'Mirador El Morro del Toldado', 'Cerro San Daniel', 'Vereda La Sinfonía', 'Haciendas cafeteras', 'Cascadas naturales']","['Café de ladera', 'Sancocho antioqueño', 'Frijoles', 'Mazamorra', 'Chicharrón', 'Trucha', 'Arequipe artesanal']","['Fiestas de Nuestra Señora de Las Mercedes (septiembre)', 'Festival Cultural y Artístico', 'Semana de Laura Montoya', 'Feria Cafetera']","Carretera en buen estado, curvas pronunciadas del Suroeste.",media,Jericó y Jardín en el mismo día es la ruta clásica del Suroeste. El Morro del Toldado tiene vista de 360°. Llevar chaqueta: mañanas frescas.,14000,"Cuna de Laura Montoya, primera beata de Colombia.",2026-07-14 12:07:16.77151+00,jerico
la-ceja,La Ceja,Oriente,2200,16,50,1h,"{'lat': 6.0295, 'lng': -75.435}","Autopista Medellín-Bogotá, desvío en La Ceja. O vía La Estrella-Caldas.","Fundada en 1789. ""La Ciudad de las Flores"". Clima fresco y paisaje de montaña verde. Principal productor de flores de exportación en el Oriente antioqueño. Su parque principal es uno de los más bonitos del departamento.","['Parque principal (Patrimonio)', 'Iglesia Santa Rosa de Lima', 'Finca La Rochela', 'Cultivos de flores', 'Quebrada La Cimarrona', 'Mirador El Cerro', 'Jardines florales']","['Trucha', 'Frijoles', 'Arepas de chócolo', 'Chicharrón', 'Mazamorra con panela', 'Agua panela con queso']","['Feria Agropecuaria y Agroindustrial', 'Fiestas de Santa Rosa de Lima (agosto)', 'Festival de las Flores']",Carretera pavimentada en buen estado con curvas moderadas.,facil,La Ceja tiene uno de los parques más lindos del Oriente. Ideal para descanso y café. Las flores son el atractivo visual del camino.,55000,Principal productor de flores de exportación en Oriente.,2026-07-14 12:03:11.391593+00,la ceja
la-estrella,La Estrella,Valle de Aburrá,1750,18,16,25 min,"{'lat': 6.1568, 'lng': -75.6409}","Autopista Sur, desvío después de Sabaneta.","Fundado en 1833. Municipio que conserva un centro histórico republicano bien preservado. Su mayor atractivo es el Embalse La Fe, principal fuente de agua para el sur del Área Metropolitana. Zona de clima fresco por su mayor altitud.","['Embalse La Fe', 'Parque principal (Patrimonio Arquitectónico)', 'Catedral de Nuestra Señora de Chiquinquirá', 'Ciénaga La Estrella', 'Haciendas históricas', 'Parque de La Quebrada']","['Trucha fresca', 'Frijoles', 'Sancocho de gallina', 'Tamales antioqueños', 'Aguardiente']","['Fiestas patronales Virgen de Chiquinquirá (septiembre)', 'Festival del Agua y la Montaña']","Autopista Sur hasta desvío, luego vías locales sinuosas.",facil,"El Embalse La Fe no tiene acceso público para motos, pero los miradores son espectaculares. Llevar ropa de abrigo, fresca en las noches.",70000,,2026-07-14 12:00:58.273533+00,la estrella
la-paz-oriente,La Paz,Oriente,1800,19,90,2h,"{'lat': 6.0012, 'lng': -75.0893}",Desde Medellín por El Carmen de Viboral o por San Luis.,Municipio joven del Oriente antioqueño. Zona de montañas y ríos. Área agropecuaria y de pequeña minería. Paisajes naturales conservados.,"['Ríos', 'Cascadas naturales', 'Veredas de montaña', 'Cultivos de plátano y café']","['Sancocho', 'Frijoles', 'Plátano', 'Frutas de la región']","['Fiestas patronales de La Paz', 'Festival Campesino']",Carretera departamental.,media,"Municipio tranquilo, bueno para quien busca descanso en naturaleza sin turismo masivo.",9000,,2026-07-14 12:03:11.391593+00,la paz
